Title,Author,Main Genre,Sub Genre,Type,Rating,No. of People rated,Price,Number of Sub-genres
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,19923.0,8.2,11
"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,7686.0,4.8,11
The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.6,50016.0,8.53,11
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,32040.0,18.87,11
"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,1707.0,16.89,11
Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.5,15122.0,15.23,11
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.6,10152.0,15.23,11
Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,539.0,16.89,11
Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,7060.0,41.24,11
Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,3216.0,31.27,11
One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,4.2,10550.0,43.28,11
SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.4,1558.0,17.52,11
A PRINCESS REMEMBERS (PB),Maharani Gayatri,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,719.0,27.75,11
The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,2871.0,23.24,11
Studio Ghibli: The Complete Works,Studio Ghibli,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.8,226.0,103.48,11
"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.7,2653.0,126.73,11
BRUCE LEE,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.7,915.0,20.57,11
JOURNEYS IN THE WILD,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,389.0,21.25,11
Speaking Of Films (The Penguin Ray Library),Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,311.0,10.04,11
Jadunama: Javed Akhtar Ek Safar (Hindi),Arvind Mandloi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.3,27.0,65.89,11
"Satyajit Ray Miscellany: On Life, Cinema",Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,127.0,19.46,11
Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,Abhijat Joshi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.5,309.0,20.52,11
"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [Hardcover] Rowling, J.K. and Kloves, Steve",J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.6,1280.0,28.48,11
Conversations with Mani Ratnam (PB),Baradwaj Rangan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,305.0,18.87,11
Hitchcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.7,787.0,70.98,11
Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.2,22.0,8.56,11
Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.8,22.0,20.04,11
Changing The Lens: Exploring The Depths Of Film And Philosophy,Dr Ruplekha Khullar & Sulagna Pal,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,0.0,0.0,21.59,11
This Life at Play: Memoirs,Girish Karnad,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,168.0,16.69,11
The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,Light Bulb Quizzes,"Arts, Film & Photography",Cinema & Broadcast,Paperback,5.0,4.0,19.6,11
Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.9,1615.0,104.22,11
On Directing Film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,848.0,29.5,11
The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,MinaLima,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.8,595.0,82.96,11
ILLUSION OF LIFE,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.9,1903.0,197.91,11
Sara Aakash [Paperback] Rajendra Yadav,Rajendra Yadav,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,177.0,6.36,11
The Nutshell Technique: Crack the Secret of Successful Screenwriting,Jill Chamberlain,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.6,593.0,21.75,11
Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,778.0,69.92,11
Madhubala: Her Real Life Story (General Press),Manju Gupta,"Arts, Film & Photography",Cinema & Broadcast,Paperback,3.6,400.0,6.55,11
Jiya Jale: The Stories of Songs,Gulzar (In conversation with Nasreen Munni Kabir),"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.6,289.0,18.68,11
Will,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,4.6,22078.0,53.03,11
Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.5,22.0,12.13,11
The Musical Maverick: The Authorized Biography of Shankar Mahadevan,Ashis Ghatak,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,0.0,0.0,29.6,11
"Winter Kisses at Roseford Café: A escapist, romantic festive read from Fay Keenan",Fay Keenan,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.4,1423.0,9.32,11
Sara Aakash Patkatha (Hindi Edition),Rajendra Yadav & Basu Chatterji,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.4,177.0,7.13,11
"Bondhu: My Father, My Friend (The India List)",Kunal Sen,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,14.0,16.79,11
Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,46.0,77.44,11
The Science of Interstellar,Kip Thorne,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.7,2048.0,87.09,11
"STORY MAPS: The Dark Knight Trilogy (Batman Begins, The Dark Knight, The Dark Knight Rises)",Daniel Calvisi,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.2,9.0,3.95,11
"Animator's Survival Kit, The",Richard E. Williams,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.8,6242.0,118.15,11
Beyond the Story: 10-Year Record of BTS,BTS and Myeongseok Kang,"Arts, Film & Photography",Music,Hardcover,4.7,5422.0,48.47,11
THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Music,Paperback,4.5,10871.0,25.18,11
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 1,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,4.6,642.0,38.86,11
Malibu Rising,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,4.2,70056.0,13.54,11
Six String Entertainment Pvt Ltd Blank Music manuscript book- 12 Stave : 32 pages (16 sheets),SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,4.4,259.0,12.08,11
Piano 2021-2023. Grade 1,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.5,878.0,29.06,11
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.6,317.0,37.12,11
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Initial Grade: And Technical Work - Initial Grade,Joanna Clarke,"Arts, Film & Photography",Music,Sheet music,4.4,662.0,32.95,11
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 3,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,4.6,237.0,47.35,11
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 2: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.4,7.0,44.78,11
John Thompson's Easiest Piano Course - Part 1 - Book Only: Part 1 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,4.5,5471.0,28.38,11
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 3: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.6,14.0,92.82,11
Trinity College London Acoustic Guitar Exam Pieces 2020–2023: Initial–Grade 2: Initial to Grade 2,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.5,379.0,103.79,11
"Six String Entertainment Pvt Ltd Music manuscript Book- 12 stave: 100 pages, 50 Sheet (Leaves)",SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,4.4,100.0,16.98,11
"WHEN IN ROME: The charming new rom-com from the author of the TikTok sensation, THE CHEAT SHEET!",Sarah Adams,"Arts, Film & Photography",Music,Paperback,4.2,6960.0,21.11,11
John Thompson's Modern Course for the Piano - First Grade (Book Only): First Grade - English: The First Grade Book : Something New Every Lesson,John Thompson,"Arts, Film & Photography",Music,Paperback,4.7,2992.0,29.11,11
"Theory of Music Workbook Grade 1 (2007): Ursula Moray Williams, Gobbolino and the Little Wooden Horse",Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.6,990.0,39.33,11
Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts, Film & Photography",Music,Paperback,4.4,84.0,11.26,11
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 2,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,4.6,383.0,38.91,11
Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,"Arts, Film & Photography",Music,Paperback,4.8,769.0,28.14,11
Sangeeta Bala Padam - Varnam Part 2,Giri,"Arts, Film & Photography",Music,Paperback,4.6,291.0,9.41,11
Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,"Arts, Film & Photography",Music,Spiral-bound,4.7,9115.0,21.88,11
Sangeeta Bala Padam - Varnam Part - 2 (Hardcover),Giri,"Arts, Film & Photography",Music,Hardcover,4.8,59.0,10.67,11
THE CHEAT SHEET: TikTok made me buy it! The friends-to-lovers rom-com hit sensation!,Sarah Adams,"Arts, Film & Photography",Music,Paperback,4.2,17341.0,20.04,11
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.8,12.0,44.83,11
Just Kids,Patti Smith,"Arts, Film & Photography",Music,Paperback,4.5,9371.0,36.88,11
Daisy Jones and The Six,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,4.3,82376.0,16.21,11
Hindustani Sangeet Paddhati Kramik Pustak Malika Part 1,Pandit Vishnu Narayan Bhatkhande,"Arts, Film & Photography",Music,Hardcover,4.1,96.0,6.79,11
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 4,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.7,173.0,43.81,11
"Raag Parichay Part 1, 2, 3, and 4 (Combo Set of 4 Books)",Pt. Harishchandra Shrivastava,"Arts, Film & Photography",Music,Paperback,4.5,1080.0,33.96,11
Kotha Sangeeta Vidyadarpanam,Sri Ekha Subba Rao,"Arts, Film & Photography",Music,Paperback,4.4,47.0,22.22,11
John Thompson's Easiest Piano Course - Part 2 - Book Only: Part 2 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,4.7,1743.0,24.02,11
"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,"Arts, Film & Photography",Music,Paperback,4.7,4243.0,54.39,11
"Discovering Music Theory, The ABRSM Grade 1 Workbook",ABRSM,"Arts, Film & Photography",Music,Sheet music,4.7,1505.0,41.24,11
Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,"Arts, Film & Photography",Music,Paperback,4.5,15.0,24.26,11
J I YA JALE THE STORIES OF SONGS,Nasreen Munni Kabir Gulzar,"Arts, Film & Photography",Music,Paperback,4.6,289.0,14.02,11
"Violin Scales, Arpeggios & Studies Initial-Grade 8 From 2016",Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.7,246.0,72.0,11
Net Sangeet,Dr. Tejsingh Taak,"Arts, Film & Photography",Music,Paperback,4.4,98.0,14.31,11
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial - Extended Edition,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.5,161.0,55.41,11
Concepts Of Vocal Music Class 12 (Second Edition),Pt. Satish Chandra Srivastava,"Arts, Film & Photography",Music,Hardcover,4.5,8.0,7.71,11
"Piano Adventures, Primer Level, Lesson Book",Nancy Faber,"Arts, Film & Photography",Music,Paperback,4.8,6322.0,37.46,11
